Date,Price
19.12.2023,"578,00"
20.12.2023,"576,20"
21.12.2023,"563,60"
22.12.2023,"565,40"
25.12.2023,"563,00"
26.12.2023,"553,20"
27.12.2023,"553,40"
28.12.2023,"564,00"
29.12.2023,"556,40"
03.01.2024,"568,80"
04.01.2024,"584,00"
05.01.2024,"579,40"
08.01.2024,"590,60"
09.01.2024,"626,80"
10.01.2024,"622,40"
11.01.2024,"627,00"
12.01.2024,"640,00"
15.01.2024,"642,80"
16.01.2024,"635,00"
17.01.2024,"637,40"
18.01.2024,"628,40"
19.01.2024,"635,40"
22.01.2024,"662,40"
23.01.2024,"655,80"
24.01.2024,"654,00"
25.01.2024,"667,20"
26.01.2024,"675,80"
29.01.2024,"677,20"
30.01.2024,"676,80"
31.01.2024,"695,40"
01.02.2024,"685,80"
02.02.2024,"677,20"
05.02.2024,"673,80"
06.02.2024,"681,00"
07.02.2024,"666,80"
08.02.2024,"661,20"
09.02.2024,"658,80"
12.02.2024,"671,80"
13.02.2024,"690,20"
14.02.2024,"682,00"
15.02.2024,"674,20"
16.02.2024,"660,00"
19.02.2024,"660,40"
20.02.2024,"644,60"
21.02.2024,"639,00"
22.02.2024,"640,40"
26.02.2024,"659,40"
27.02.2024,"649,00"
28.02.2024,"641,40"
29.02.2024,"652,60"
01.03.2024,"657,40"
04.03.2024,"660,00"
05.03.2024,"658,40"
06.03.2024,"652,80"
07.03.2024,"655,00"
11.03.2024,"654,40"
12.03.2024,"647,80"
13.03.2024,"643,00"
14.03.2024,"633,40"
15.03.2024,"629,80"
18.03.2024,"644,00"
19.03.2024,"632,20"
20.03.2024,"627,40"
21.03.2024,"630,60"
22.03.2024,"605,00"
25.03.2024,"607,60"
26.03.2024,"618,00"
27.03.2024,"614,40"
28.03.2024,"608,60"
29.03.2024,"609,80"
01.04.2024,"618,00"
02.04.2024,"614,80"
03.04.2024,"635,20"
04.04.2024,"619,40"
05.04.2024,"608,60"
08.04.2024,"607,60"
09.04.2024,"604,20"
10.04.2024,"604,60"
11.04.2024,"599,20"
12.04.2024,"608,00"
15.04.2024,"609,00"
16.04.2024,"608,40"
17.04.2024,"606,00"
18.04.2024,"603,00"
19.04.2024,"601,00"
22.04.2024,"607,80"
23.04.2024,"599,80"
24.04.2024,"594,80"
25.04.2024,"602,40"
26.04.2024,"595,20"
27.04.2024,"587,20"
29.04.2024,"584,80"
30.04.2024,"577,80"
02.05.2024,"578,00"
03.05.2024,"585,80"
06.05.2024,"571,60"
07.05.2024,"578,20"
08.05.2024,"576,80"
10.05.2024,"574,80"
13.05.2024,"577,60"
14.05.2024,"603,60"
15.05.2024,"616,40"
16.05.2024,"613,00"
17.05.2024,"634,00"
20.05.2024,"625,00"
21.05.2024,"611,40"
22.05.2024,"603,40"
23.05.2024,"613,60"
24.05.2024,"581,20"
27.05.2024,"563,80"
28.05.2024,"570,00"
29.05.2024,"572,00"
30.05.2024,"559,20"
31.05.2024,"555,40"
03.06.2024,"562,60"
04.06.2024,"562,40"
05.06.2024,"556,80"
06.06.2024,"556,80"
07.06.2024,"563,20"
10.06.2024,"559,80"
11.06.2024,"554,00"
13.06.2024,"549,40"
14.06.2024,"554,80"
24.06.2024,"510,60"
26.06.2024,"517,20"
27.06.2024,"510,80"
28.06.2024,"502,00"
01.07.2024,"513,00"
02.07.2024,"523,40"
03.07.2024,"508,60"
04.07.2024,"498,20"
05.07.2024,"488,80"
08.07.2024,"481,40"
09.07.2024,"457,80"
10.07.2024,"433,00"
11.07.2024,"457,80"
12.07.2024,"454,40"
15.07.2024,"442,00"
16.07.2024,"452,00"
17.07.2024,"442,00"
18.07.2024,"454,60"
19.07.2024,"463,20"
22.07.2024,"465,20"
23.07.2024,"467,40"
24.07.2024,"467,00"
25.07.2024,"472,00"
26.07.2024,"460,80"
29.07.2024,"446,60"
30.07.2024,"456,80"
